statement,emotion
Had such a great time seeing lights with Gregisthebomb  Missed him like crazy ,joy
to feel happy just once for a whole day would be brilliant ,sadness
Ew dis unstable creature on steve wilkos is having sex wit her dad like she calling him her bf like ew ,disgust
TommyFPatterson WHAT i have wait till next week ,sadness
Im hoping I fall asleep before the stampede scene ,sadness
quotMans does not bring about the righteous LIFE that God desiresbe quick to listen slow to speakslow 2Bcome angryquot Jmz 11920,anger
Hour and a half drive to clear my head practice,joy
OMFG Just opened the fridge and discovered the Screme egg I put in there 2 hours ago Had completely forgotten about it Pure ,joy
I got a very nasty electrical shock when I was tampering with some electrical applainces ,fear
 You re not  vexed  are you   he asked incredulously  ,anger
But Matta was gazing at him  and his grin was wider  more gleeful  ,joy
A classmate died after being two months in coma after a car accident,sadness
 No   she replied briefly  feeling more and more resentful  ,anger
I went shopping with my parents  my father payed everything for me I was very glad,joy
Bosses never know what they are getting themselves into when they turn a hard creative worker into a party planner ,surprise
That quick moment when you have a surprise for someone and that someone is coming to where you are jusstlovee,surprise
Her grief at his death was deep and sincere  ,sadness
After going through much shame I became a Christian and something new happened in my heart  Joy that overflows was manifest in me,joy
Break What have you seen that inspired awe Remember the expansive feeling of wonder LJB,joy
Comateens tas vu a bon la tradition veut quil moffre mon calendrier depuis que je nhabite plus chez eux mais l ,surprise
Cant wait till factor,fear
There is no room for in the kingdom of God,fear
They stared at one another in dismay  the sad  small wickedness of their friends and neighbours strewn around their minds like dirty confetti from a party long past  ,fear
Finding out that my grandfather had died He lived in England and I had not seen him for 10 years,sadness
I feel very miserable  I took the death of my wife very hard  you know  ,sadness
 Oh  I see  ,neutral
At one of my close friends saying she didnt like the way I am nice to people I dont know or who have been nasty to me,anger
lets stop beating around the bush if this is what our remote control drones look like SURELY flying saucers are on the way soon ,joy
So the chief librarian was surprised and not particularly overjoyed to be dragged down from his rooftop sun terrace by Harry s telephone call  ,joy
Interpersonal arguments and difficulties were also a more common feature of the experiences of depressed patients than of the comparison group  ,sadness
i have an eerie feeling that im not going to do anything this weekend ,fear
 Yes  ,neutral
The performance is amazing  Im curious about how they did it  I mean the way they sing  ,joy
This depression is taking a toll on me I dont know what to feel let alone how I feel  ,sadness
A la pause Crteil perd contre VillersOutreaux District en Coupe de France 10   ,surprise
DashingSarah Someone will make his return on WWE RAW Wait And See its a ,surprise
I am SO blessed In all honesty just thinking about it makes me want to cry love happiness abundance,joy
the songs i listen to i wish  would listen to them and feel the same way i feel and the ,joy
After my girlfriend had taken her exam we went to her parents place,joy
 Wow  that does sound like its going to be fun  ,joy
I experienced it once when we were on a drive Our car passed by the one comming from the opposite direction at an incredibly small distance,fear
 Well  children usually resemble their parents  ,joy
When I went home on holidays I found that my niece and nephew had passed away I was very sad for the children were not even sick before death but suddenly died,sadness
 Its ok  ,neutral
Am not suprise total defination of what we rep in Naija always dont wanna say the truth He is a weaklen simple RT biblicious,fear
 I pop bottles cause I bottle my Emotions  at least I put it all in the open  ,fear
The challenge was accepted and amidst cheers from a group of inebriated local husbands  the offended owner headed out the door in search of a couple of friendly Gardai  ,anger
Or quotdear person in the lib shut upquot TELL THE PERSON TO STFU cuz they prob wont see your fbook status ,anger
 how dare you  ,anger
When my mother treats me as a 10year old boy,anger
 Me too  ,neutral
im finally getting into my christmas mood D   ,joy
 My grandmother just passed away  ,sadness
 Well  a good rule to follow is  for men you hold out your hand  for women and children  you wait and see what they do  ,neutral
i hate when the homeless dog commercials come on you have to change the channel ,sadness
very excited about the message for this weekend TowersChurch  Jesus and Joy     peace,joy
zlmoore stab me in the heart why dont you lol  ,sadness
janawalker10 Just found out the hard way that Im to old for leg wrestling Body does bend like it used to ,sadness
went to marylous with will neal shawn and ethan after student council  now shitloads of homework ,joy
Just got back from the storegot me something to sip on for the evening  ,joy
Just had my wine upgraded to a fume blanc Lovely ,surprise
off to work with my fancy duck taped shoes ,joy
Me siento una teen en el  jajaja q pasaaaaa las cougar se han adueado de este lugar ,joy
mrbilliam I think the sodomy bot would surprise you when  uh  twistieman knowledgelost lipstickdolly pbennett2434,surprise
Je ne sais pas comment jai RT un truc que je ne connais pas Peur du piratage ,fear
 Yeah  you are right  I must stop complaining and stick to it every day  ,joy
Black Swan is the best movie ever hands down ,sadness
Love this RT debrareble follows a pure thought like a shadow that never leavesBuddha quote,joy
Or was it just fear that paralysed her  like a frightened rabbit  ,fear
It was as if Gillray s avaricious monarch was more of an affront than the voluptuary suffering from the horrors of dissipation  ,fear
Fake people fake friends now even a fake christmas tree ,sadness
Being stopped by the police for a traffic offence which I dont think I committed,anger
A dejected David Mellor  of the Royal Bank  told the magazine Doctor   I was led to believe it was nt an appropriate venue for a bank representative   ,sadness
Up early do finish this project ,joy
 when kelseyrae93 came home for homecoming weekend and jumped out of the car when Kendall drove by ,surprise
Look at this headline  Soo Mi  ,neutral
my mom is making us wear elf hats for our christmas card picture ,joy
It gonna be 2 awesome wks Pal jetted in last night without telling anyone Got his call nw ,surprise
TAKE MY OUT ON WHOEVER IS AROUND OR N MY FACE SO TF WHAT YU AINT GONE BEAT MY ASS,anger
 Yeah  ,neutral
I could tell from the blank embarrassment in Tom s expression that she had not acknowledged him  ,shame
i should clarify were winning the game of terror not the war on it america terrorizes like fucking no one does still plenty to ,fear
